"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,,
"Table F.1.1.1  Provincial/territorial government health expenditure by province/territory and Canada in millions of current dollars, 1974–1975 to 2024–2025",,,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,,
Year,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1985–1986,-1.7,-4.4,4.3,-0.9,-0.1,-5.6,-2.2,-5.0,-1.5,1.6,-7.6,6.4,—,-1.9
1986–1987,2.2,2.3,2.7,1.0,-2.8,8.5,-1.2,16.7,3.5,4.9,-8.0,14.9,—,3.8
1987–1988,-0.1,-2.3,2.0,0.2,4.0,0.9,7.5,3.7,4.3,2.8,-10.6,-2.3,—,3.0
1988–1989,-0.8,-2.5,-4.2,2.5,-2.4,-1.5,-2.7,-3.5,10.2,2.9,23.3,35.5,—,0.3
1989–1990,0.0,-3.0,-7.1,0.5,4.4,3.4,1.5,-3.5,5.6,-1.7,-0.2,-1.8,—,2.5
1990–1991,4.0,1.4,13.9,-0.5,-1.0,-5.7,7.1,8.0,0.4,2.1,0.5,-4.7,—,-1.0
1991–1992,-2.7,2.2,3.3,-0.3,2.0,-0.6,-6.6,-20.2,2.2,-4.8,2.2,7.4,—,-1.0
1992–1993,-3.5,1.3,-10.1,1.7,-3.5,0.1,5.6,25.5,-0.8,2.9,-0.2,-4.7,—,0.1
1993–1994,5.3,-16.0,6.4,0.8,1.4,1.0,-2.4,-12.3,5.1,-0.5,20.0,-3.2,—,0.8
1994–1995,-0.3,21.5,-4.5,1.3,-1.6,0.8,4.6,9.9,-6.7,-2.5,9.7,-4.8,—,-0.6
1995–1996,2.3,3.1,-0.3,1.4,1.2,-4.3,1.5,4.2,-0.1,1.8,-11.7,0.7,—,-0.8
1996–1997,-0.5,1.9,6.2,0.3,-0.7,7.2,-1.7,6.6,7.5,-2.1,2.6,-6.3,—,3.0
1997–1998,7.6,-0.5,18.0,-2.5,4.4,0.2,-1.6,2.1,5.3,3.4,12.6,11.1,—,2.8
1998–1999,6.8,1.8,-4.4,0.1,1.6,-1.9,5.0,-2.9,3.5,-24.3,2.1,4.4,—,-4.2
1999–2000,0.4,-1.1,1.1,-1.8,-4.9,5.8,3.1,-4.1,1.1,37.7,-1.1,0.4,—,6.1
2000–2001,4.0,-1.0,0.2,13.2,3.9,4.8,6.8,6.5,-6.2,6.3,4.4,7.2,-4.0,3.9
2001–2002,0.4,9.6,4.5,5.2,0.2,5.0,1.9,-6.2,-2.0,4.6,4.6,-0.2,-3.1,2.0
2002–2003,3.0,10.8,3.6,2.6,-0.9,0.1,3.6,-4.5,17.7,7.0,0.5,-0.4,20.3,3.0
2003–2004 ,0.5,-6.5,1.7,0.6,2.0,1.5,-0.2,10.7,0.5,1.9,-6.3,-1.2,15.2,2.0
2004–2005,3.4,2.1,-1.4,2.5,2.4,1.0,3.0,2.7,-0.3,1.3,-2.0,7.3,-3.5,1.4
2005–2006 ,-33.2,0.8,0.2,3.0,-1.6,-1.0,0.0,4.2,-0.6,-0.3,0.3,-5.7,-6.4,-1.5
2006–2007 ,36.3,-2.7,4.2,2.7,-2.0,1.7,-0.4,-0.6,1.7,-1.9,5.1,4.4,7.4,0.8
2007–2008,-3.6,0.8,-3.3,-7.2,3.8,-1.1,-3.8,2.8,-5.8,-2.0,0.1,0.1,-10.1,-0.8
2008–2009 ,0.1,-7.5,-8.9,-10.7,-5.8,-8.5,-9.7,-18.2,-2.5,-9.3,0.8,4.0,-2.0,-7.4
2009–2010,-0.6,4.7,0.0,2.8,4.2,-2.2,2.4,-2.9,-0.3,1.2,8.5,-0.9,5.9,0.4
2010–2011 ,4.2,8.1,8.3,1.1,0.7,-3.0,-1.5,-1.7,10.0,2.0,-3.0,8.9,-0.8,0.8
2011–2012,1.2,7.3,-0.2,4.4,0.6,0.3,-3.4,0.9,-4.4,-3.0,8.6,5.0,3.8,-0.7
2012–2013 ,9.8,-1.2,-2.3,-1.4,-1.9,6.0,6.9,4.6,0.5,7.1,-1.0,-0.9,2.0,3.2
2013–2014 ,-2.2,-2.2,-2.0,-4.6,1.0,-0.6,0.5,4.8,0.1,-0.8,-0.6,7.3,-2.2,-0.2
2014–2015,0.3,-0.7,-1.5,-3.5,-0.5,0.7,-3.8,-1.0,1.4,1.6,-0.9,-4.0,3.6,0.2
2015–2016,1.3,-0.2,1.1,2.1,10.7,0.1,1.9,-0.5,-2.4,-0.9,3.8,5.8,3.1,2.0
2016–2017,-2.3,1.3,-1.3,-3.2,-4.8,-1.4,-2.2,1.1,-1.5,0.0,27.1,10.6,-1.1,-1.9
2017–2018,0.8,0.8,-0.7,-1.4,2.1,-2.6,0.8,1.9,1.3,-2.0,6.7,-11.3,6.1,-0.5
2018–2019,3.3,-2.3,-0.7,-1.0,1.0,-1.1,-1.1,-5.2,-1.2,-2.4,-14.5,6.7,-0.4,-0.9
2019–2020,4.7,-1.2,1.8,1.0,-2.1,-0.7,-1.3,3.0,-0.9,-1.7,-1.5,-6.3,6.6,-0.9
2020–2021,-5.2,-3.2,6.2,6.0,13.1,9.2,2.9,-2.6,6.8,0.8,2.5,4.2,0.5,7.5
2021–2022,10.0,3.1,-3.0,3.3,-2.5,-0.4,-2.9,-7.8,-1.3,1.2,-2.0,-1.5,-8.6,-1.1
2022–2023,-4.1,3.1,1.6,-4.6,-5.5,0.0,-0.4,4.0,1.0,-4.6,-0.8,-2.1,4.2,-1.9
2023–2024 f,—,—,—,—,—,—,—,—,—,—,—,—,—,—
2024–2025 f,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Note,,,,,,,,,,,,,,
f: Forecast,,,,,,,,,,,,,,
* Total Provincial/Territorial Government Programs correspond to Total Provincial/Territorial Government Expenditures less debt charges.,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"National Health Expenditure Database, 2024, Canadian Institute for Health Information.",,,,,,,,,,,,,,
"Table F.1.1.5  Total provincial/territorial government health expenditure as a proportion of total provincial/territorial government expenditures* by province/territory and Canada, 1974–1975 to 2024–2025",,,,,,,,,,,,,,
Percentage by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,22.0,21.5,25.0,20.2,27.7,28.0,27.3,24.2,23.6,25.5,9.6,9.2,—,26.4
1975–1976,20.9,21.2,25.0,21.1,28.1,27.8,28.1,24.0,24.1,26.1,9.5,10.1,—,26.6
1976–1977,20.6,21.8,25.1,22.5,27.7,29.0,28.9,24.3,22.2,28.3,13.9,9.7,—,27.0
1977–1978,21.3,19.8,23.6,22.7,26.8,28.3,26.5,23.2,21.2,27.3,12.5,10.5,—,26.1
1978–1979,18.0,21.1,22.9,22.6,26.9,28.0,28.7,23.4,21.8,28.5,11.7,10.9,—,26.1
1979–1980,20.2,21.2,24.2,23.5,26.6,27.7,27.7,23.2,19.2,28.5,9.9,9.5,—,25.6
1980–1981,21.1,21.9,24.1,24.4,25.5,29.0,28.2,24.1,22.4,29.9,11.1,9.5,—,26.4
1981–1982,24.0,23.6,23.1,25.6,25.3,29.8,27.9,24.4,22.1,31.0,10.6,10.0,—,26.7
1982–1983,24.3,24.3,25.0,25.3,26.3,30.3,27.4,25.1,20.9,28.4,15.1,12.1,—,26.7
1983–1984,23.6,25.8,25.3,25.0,26.3,31.0,25.9,25.8,23.1,28.2,12.5,11.3,—,27.2
1984–1985,23.7,25.6,25.3,25.1,26.0,31.4,26.9,24.4,23.2,28.4,12.3,10.6,—,27.2
1985–1986,23.1,24.6,26.1,24.7,25.8,30.0,25.9,22.9,22.8,28.4,11.4,11.3,—,26.7
1986–1987,23.6,25.1,26.6,25.1,25.0,32.6,25.2,25.4,23.5,29.7,10.5,13.0,—,27.6
1987–1988,23.5,24.7,27.2,25.2,25.9,33.0,25.6,25.4,23.9,30.3,9.4,12.7,—,28.2
1988–1989,23.6,23.8,26.6,25.8,25.6,32.7,26.0,25.8,25.7,31.1,11.5,16.9,—,28.4
1989–1990,23.7,23.1,25.2,26.0,26.6,33.9,26.2,24.9,26.6,30.6,11.5,16.7,—,29.1
1990–1991,24.9,23.4,27.8,25.6,26.1,32.3,27.8,27.0,26.4,31.3,11.6,15.9,—,28.8
1991–1992,23.9,23.8,28.5,25.4,26.7,32.2,26.2,22.2,27.0,29.9,11.8,17.1,—,28.6
1992–1993,23.5,23.8,25.7,25.3,25.9,31.9,27.3,26.2,26.7,30.5,11.8,16.3,—,28.5
1993–1994,24.4,20.3,26.7,25.0,26.0,31.3,26.6,22.4,27.7,30.2,14.1,15.8,—,28.2
1994–1995,24.3,23.8,25.2,25.0,25.4,31.1,27.3,25.1,25.5,29.4,15.5,15.1,—,27.8
1995–1996,24.7,24.7,25.3,25.5,25.4,29.7,27.7,26.4,25.5,29.7,13.7,15.2,—,27.5
1996–1997,24.7,25.2,26.9,25.6,25.2,31.4,27.7,28.1,27.8,29.3,14.1,14.3,—,28.2
1997–1998,26.9,25.4,31.9,25.0,25.7,31.9,27.6,29.5,29.8,30.2,15.8,15.5,—,29.1
1998–1999,28.9,26.3,30.4,25.1,26.5,31.5,28.8,29.4,30.9,23.5,16.2,16.2,—,28.2
1999–2000,29.4,26.1,30.7,25.1,25.4,33.3,30.4,29.1,32.4,31.5,16.0,16.5,18.3,30.0
2000–2001,30.5,25.9,30.5,28.1,26.3,35.2,31.8,31.2,30.8,33.5,16.8,17.7,17.5,31.2
2001–2002,30.9,28.5,31.9,29.7,26.6,37.1,32.9,30.3,30.9,35.5,17.5,17.6,17.0,32.2
2002–2003,32.2,31.9,33.6,30.2,26.6,37.4,35.6,29.3,36.7,38.2,17.6,17.6,20.6,33.4
2003–2004 ,32.6,29.9,34.7,31.0,27.1,38.4,36.7,32.3,37.4,39.2,16.5,17.4,23.5,34.4
2004–2005,33.8,30.5,34.6,32.2,27.8,39.2,38.0,33.5,37.3,39.9,16.2,18.6,22.8,35.0
2005–2006 ,23.6,30.8,35.4,33.5,27.3,39.2,37.9,35.2,37.3,40.1,16.2,17.6,21.3,34.8
2006–2007,31.6,30.0,37.4,34.8,27.0,40.1,37.9,35.3,38.0,39.4,17.0,18.4,23.0,35.2
2007–2008 ,30.6,30.5,36.6,32.7,27.9,39.9,36.9,36.5,35.9,38.9,17.1,18.4,20.7,35.1
2008–2009 ,30.0,28.5,34.1,30.1,26.8,37.0,33.8,30.5,35.5,35.7,17.2,19.3,20.6,33.1
2009–2010,29.9,29.9,34.3,30.9,28.1,36.3,35.0,29.9,35.4,36.2,18.7,19.1,21.8,33.3
2010–2011 ,31.5,32.5,37.3,31.2,28.1,35.2,34.6,29.6,39.0,36.9,18.1,20.8,21.7,33.5
2011–2012,32.0,34.9,37.4,32.7,28.2,35.3,33.5,29.9,37.3,35.8,19.6,21.9,22.5,33.3
2012–2013 ,34.7,34.5,36.5,32.3,27.7,37.3,35.7,31.4,37.5,38.3,19.4,21.6,23.0,34.3
2013–2014 ,34.4,33.7,36.0,31.0,28.0,37.1,36.0,32.9,37.4,38.0,19.3,23.2,22.5,34.3
2014–2015,34.8,33.5,35.6,30.0,27.8,37.4,34.7,32.7,37.7,38.6,19.2,22.3,23.3,34.3
2015–2016,35.4,33.5,36.1,30.7,30.8,37.4,35.3,32.5,36.8,38.2,19.9,23.6,24.1,35.1
2016–2017,35.0,34.1,35.7,29.9,29.4,37.0,34.3,32.8,36.1,38.4,25.3,26.0,23.8,34.5
2017–2018,35.6,34.4,35.5,29.6,30.0,36.1,34.4,33.3,36.3,37.6,27.0,23.0,25.2,34.3
2018–2019,36.5,33.8,35.3,29.4,30.3,35.7,33.9,31.4,35.6,36.8,23.1,24.5,25.1,34.0
2019–2020,38.1,33.5,36.2,29.8,29.9,35.5,33.5,32.3,35.2,36.3,22.7,23.0,26.7,33.8
2020–2021,36.2,32.6,38.8,31.6,34.2,39.1,34.8,31.6,37.3,36.8,23.3,24.0,26.9,36.5
2021–2022,40.2,33.7,38.0,32.8,33.5,38.9,33.9,29.3,36.8,37.3,22.9,23.5,24.6,36.2
2022–2023,38.5,34.6,38.8,31.6,31.4,38.7,33.7,30.3,37.3,35.7,22.7,23.0,25.6,35.4
2023–2024 f,—,—,—,—,—,—,—,—,—,—,—,—,—,—
2024–2025 f,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Annual percentage change by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,-4.7,-1.4,0.1,4.5,1.4,-0.6,2.9,-0.8,2.2,2.4,-0.2,10.0,—,0.6
1976–1977,-1.3,2.5,0.2,7.0,-1.3,4.3,2.7,0.9,-7.9,8.1,45.4,-4.5,—,1.5
1977–1978,3.2,-8.9,-5.9,0.9,-3.4,-2.4,-8.1,-4.4,-4.4,-3.4,-10.2,8.3,—,-3.3
1978–1979,-15.4,6.8,-3.0,-0.3,0.3,-1.0,8.4,0.9,2.7,4.2,-6.3,4.1,—,0.1
1979–1980,12.1,0.3,5.8,3.9,-1.1,-1.2,-3.8,-0.7,-11.7,0.0,-15.0,-13.2,—,-2.0
1980–1981,4.6,3.4,-0.8,3.6,-4.3,4.6,2.0,3.7,16.2,4.9,12.4,0.5,—,3.0
1981–1982,13.9,7.6,-4.1,4.9,-0.5,3.0,-1.3,1.3,-1.3,3.9,-4.7,4.5,—,1.3
1982–1983,1.1,2.8,8.5,-0.9,4.0,1.7,-1.6,2.9,-5.5,-8.4,41.8,21.6,—,-0.1
1983–1984,-2.7,6.4,0.9,-1.2,0.0,2.3,-5.3,2.7,10.6,-0.7,-17.0,-6.6,—,1.9
1984–1985,0.3,-0.8,0.1,0.2,-1.4,1.3,3.6,-5.2,0.7,0.6,-1.3,-6.0,—,0.3
1985–1986,-2.6,-3.8,3.0,-1.7,-0.5,-4.6,-3.5,-6.2,-1.9,0.1,-7.5,6.7,—,-2.1
1986–1987,2.0,2.0,2.2,1.6,-3.4,8.6,-2.8,10.7,3.0,4.6,-7.9,14.9,—,3.3
1987–1988,-0.1,-1.8,2.3,0.7,3.7,1.4,1.6,0.2,1.7,2.1,-10.6,-2.3,—,2.3
1988–1989,0.3,-3.5,-2.2,2.3,-1.3,-1.0,1.6,1.3,7.8,2.7,22.5,33.0,—,0.8
1989–1990,0.4,-2.8,-5.5,0.9,3.9,3.6,1.0,-3.3,3.5,-1.5,-0.1,-1.7,—,2.3
1990–1991,5.0,1.1,10.3,-1.8,-1.7,-4.8,5.9,8.5,-1.0,2.1,0.6,-4.5,—,-1.0
1991–1992,-4.0,1.8,2.5,-0.6,2.4,-0.2,-5.8,-17.9,2.6,-4.4,2.0,7.6,—,-0.5
1992–1993,-1.6,0.2,-9.5,-0.3,-3.1,-0.9,4.3,17.8,-1.3,1.9,-0.2,-4.7,—,-0.5
1993–1994,3.7,-15.0,3.6,-1.2,0.2,-2.1,-2.5,-14.5,3.8,-1.0,20.2,-2.8,—,-1.1
1994–1995,-0.3,17.3,-5.5,0.0,-2.0,-0.6,2.8,12.0,-8.2,-2.7,9.7,-4.4,—,-1.4
1995–1996,1.8,3.8,0.3,1.7,-0.3,-4.5,1.4,5.2,0.3,1.2,-11.7,0.6,—,-1.2
1996–1997,-0.2,2.0,6.4,0.4,-0.8,5.9,-0.1,6.6,8.8,-1.4,2.7,-6.3,—,2.8
1997–1998,9.1,0.8,18.7,-2.1,2.2,1.6,-0.3,4.8,7.4,3.1,12.6,8.5,—,3.0
1998–1999,7.4,3.4,-4.7,0.4,3.2,-1.5,4.3,-0.2,3.7,-22.2,2.4,4.6,—,-3.0
1999–2000,1.7,-0.7,0.7,-0.1,-4.4,5.8,5.6,-1.0,4.8,34.2,-1.1,1.6,—,6.2
2000–2001,3.6,-0.7,-0.4,12.1,3.9,5.6,4.4,7.3,-5.1,6.1,4.5,7.2,-4.4,4.2
2001–2002,1.5,10.2,4.4,5.4,0.9,5.6,3.6,-3.0,0.3,6.0,4.4,-0.1,-2.8,3.1
2002–2003,4.0,11.7,5.4,1.9,-0.2,0.9,8.3,-3.4,19.0,7.6,0.5,-0.3,20.8,3.8
2003–2004 ,1.5,-6.1,3.3,2.6,2.1,2.7,2.9,10.4,1.8,2.8,-6.2,-1.1,14.5,2.9
2004–2005,3.6,2.0,-0.4,3.8,2.4,1.9,3.5,3.8,-0.1,1.7,-2.0,7.0,-3.2,1.9
2005–2006 ,-30.1,1.0,2.3,4.0,-1.7,0.1,-0.2,5.1,0.0,0.6,0.4,-5.6,-6.4,-0.7
2006–2007 ,33.8,-2.6,5.8,3.9,-1.3,2.3,0.0,0.2,1.9,-1.8,5.1,4.7,7.8,1.3
2007–2008,-3.3,1.5,-2.0,-5.9,3.4,-0.6,-2.6,3.4,-5.5,-1.4,0.1,0.1,-10.2,-0.4
2008–2009 ,-1.9,-6.4,-6.9,-8.1,-3.7,-7.3,-8.4,-16.3,-1.3,-8.0,0.9,4.7,-0.2,-5.9
2009–2010,-0.5,4.9,0.6,2.9,4.8,-1.8,3.4,-2.2,-0.2,1.3,8.5,-0.9,6.0,0.8
2010–2011 ,5.4,8.6,8.8,1.0,-0.1,-3.0,-1.1,-1.0,10.2,1.9,-3.2,8.9,-0.7,0.7
2011–2012,1.6,7.4,0.1,4.5,0.3,0.1,-3.2,1.1,-4.4,-2.9,8.5,4.9,3.8,-0.7
2012–2013 ,8.7,-1.1,-2.2,-1.0,-1.8,5.7,6.7,4.7,0.5,7.1,-0.9,-1.0,2.1,3.1
2013–2014 ,-0.9,-2.2,-1.4,-4.0,1.0,-0.6,0.9,5.1,-0.2,-0.9,-0.5,7.1,-2.1,-0.2
2014–2015,1.2,-0.7,-1.2,-3.4,-0.6,0.8,-3.7,-0.8,0.9,1.5,-0.9,-3.9,3.7,0.2
2015–2016,1.6,0.1,1.4,2.4,10.7,0.2,1.7,-0.4,-2.6,-1.0,3.9,5.7,3.2,2.1
2016–2017,-1.0,1.6,-1.0,-2.7,-4.6,-1.3,-2.7,1.0,-1.9,0.5,27.0,10.5,-1.1,-1.7
2017–2018,1.7,1.1,-0.4,-0.9,2.1,-2.4,0.3,1.4,0.6,-1.9,6.7,-11.5,6.0,-0.5
2018–2019,2.5,-1.9,-0.6,-0.6,1.2,-1.1,-1.4,-5.5,-1.8,-2.2,-14.5,6.5,-0.7,-0.9
2019–2020,4.2,-0.7,2.5,1.2,-1.3,-0.4,-1.2,2.7,-1.3,-1.4,-1.5,-6.4,6.6,-0.6
2020–2021,-4.8,-2.7,7.2,6.1,14.3,10.0,3.9,-2.1,6.2,1.3,2.6,4.3,0.6,8.1
2021–2022,10.8,3.3,-2.0,3.9,-2.3,-0.3,-2.5,-7.3,-1.3,1.4,-1.9,-1.8,-8.6,-0.9
2022–2023,-4.2,2.7,2.0,-3.7,-6.2,-0.6,-0.6,3.4,1.2,-4.4,-0.8,-2.3,4.1,-2.2
2023–2024 f,—,—,—,—,—,—,—,—,—,—,—,—,—,—
2024–2025 f,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Note,,,,,,,,,,,,,,
f: Forecast,,,,,,,,,,,,,,
* Total Provincial/Territorial Government Programs correspond to Total Provincial/Territorial Government Expenditures less debt charges.,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"National Health Expenditure Database, 2024, Canadian Institute for Health Information.",,,,,,,,,,,,,,
"Table F.1.1.6  Provincial/territorial government health expenditure by province/territory and Canada, in millions of 2010 constant dollars, 1974–1975 to 2024–2025",,,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,870.1,207.3,"1,428.4","1,075.3","11,540.4","16,021.1","1,952.7","1,627.8","3,631.5","4,669.1",29.0,79.7,—,"43,132.5"
1976–1977,832.5,195.5,"1,410.0","1,120.4","11,876.5","16,261.1","2,042.8","1,741.6","3,675.4","4,677.5",38.6,88.0,—,"43,959.9"
1977–1978,818.1,202.9,"1,439.2","1,145.9","11,893.1","16,114.1","2,052.6","1,783.0","3,625.6","4,733.5",37.5,100.2,—,"43,945.8"
1978–1979,856.1,212.4,"1,487.9","1,176.9","12,574.9","16,230.2","2,006.4","1,797.4","4,032.3","5,121.6",41.0,111.5,—,"45,648.7"
1979–1980,911.5,215.5,"1,528.9","1,224.6","12,833.3","16,088.5","2,021.7","1,912.7","4,607.3","5,341.9",39.9,96.2,—,"46,822.1"
1980–1981,935.7,231.6,"1,613.7","1,323.7","13,246.6","16,830.0","2,139.7","2,088.9","4,993.7","6,199.2",40.5,95.5,—,"49,738.8"
1981–1982,970.8,238.4,"1,775.0","1,464.3","13,422.9","17,777.4","2,342.5","2,215.8","5,671.4","6,774.2",39.4,105.9,—,"52,798.0"
1982–1983,"1,035.2",250.0,"1,811.9","1,564.0","14,032.7","18,671.6","2,419.9","2,389.5","6,567.6","6,744.4",57.8,144.8,—,"55,689.4"
1983–1984,"1,095.5",260.1,"1,805.2","1,517.9","14,688.2","19,558.6","2,461.4","2,428.0","6,741.1","6,841.8",48.7,139.6,—,"57,586.1"
1984–1985,"1,072.2",261.4,"1,874.1","1,545.2","14,752.2","20,467.2","2,525.2","2,421.9","6,672.8","6,991.0",50.2,144.2,—,"58,777.6"
1985–1986,"1,128.3",261.9,"1,976.9","1,563.5","14,907.2","21,356.3","2,612.3","2,533.5","7,075.7","7,239.2",49.8,160.3,—,"60,864.8"
1986–1987,"1,215.4",269.5,"1,996.2","1,635.3","14,695.3","23,054.2","2,701.9","2,746.7","7,449.3","7,541.8",56.8,201.8,—,"63,564.2"
1987–1988,"1,258.6",276.7,"2,074.6","1,739.7","15,278.6","24,114.6","2,781.8","2,680.5","7,031.2","7,646.0",58.0,219.4,—,"65,159.7"
1988–1989,"1,291.9",286.7,"2,192.7","1,799.6","15,944.4","25,544.8","2,840.5","2,806.2","7,253.3","8,123.3",64.1,309.9,—,"68,457.4"
1989–1990,"1,304.6",286.9,"2,219.8","1,796.8","16,286.9","26,846.7","2,938.9","2,968.3","7,678.6","8,567.1",64.0,335.2,—,"71,293.7"
1990–1991,"1,396.2",288.6,"2,212.3","1,830.4","16,490.1","26,955.0","3,045.4","2,993.1","7,641.6","9,101.4",65.5,337.2,—,"72,356.9"
1991–1992,"1,390.7",301.8,"2,256.3","1,848.8","17,448.0","28,804.0","2,966.4","2,922.1","7,634.9","9,527.6",74.5,375.3,—,"75,550.3"
1992–1993,"1,395.1",303.3,"2,216.9","1,862.3","17,202.8","28,453.4","3,034.2","2,769.6","7,844.8","9,794.4",79.9,344.1,—,"75,300.8"
1993–1994,"1,361.8",308.0,"2,114.7","1,841.9","17,099.5","27,468.5","2,953.2","2,575.2","7,334.4","10,101.5",94.4,349.1,—,"73,602.1"
1994–1995,"1,383.2",294.5,"1,986.1","1,850.0","17,051.3","27,658.5","2,903.4","2,566.5","6,568.1","10,131.2",105.3,330.2,—,"72,828.3"
1995–1996,"1,394.1",303.8,"2,027.2","1,867.3","16,994.7","27,212.1","2,923.1","2,554.3","6,240.3","10,068.8",96.5,333.7,—,"72,015.9"
1996–1997,"1,392.6",318.1,"2,010.2","1,803.9","16,603.5","27,390.0","2,891.8","2,594.5","6,618.0","10,071.6",93.6,293.5,—,"72,081.2"
1997–1998,"1,468.3",314.1,"2,405.3","1,820.6","16,971.8","27,482.9","2,986.9","2,700.9","7,137.5","10,301.6",105.9,328.0,—,"74,023.7"
1998–1999,"1,633.5",334.5,"2,419.3","1,908.2","18,297.4","28,848.6","3,176.5","2,806.5","7,618.8","10,631.5",107.9,353.4,—,"78,136.1"
1999–2000,"1,745.5",342.5,"2,495.2","2,020.8","18,097.1","30,353.4","3,567.2","2,928.7","8,610.7","11,351.9",113.6,205.0,212.6,"82,044.2"
2000–2001,"1,720.7",351.2,"2,383.9","2,028.9","18,686.8","32,428.7","3,656.1","2,987.0","8,989.4","11,916.7",116.0,214.2,193.1,"85,672.7"
2001–2002,"1,817.0",406.6,"2,478.8","2,169.7","19,601.8","33,094.2","3,784.7","3,140.5","9,885.2","12,889.3",127.7,241.0,193.1,"89,829.7"
2002–2003,"1,864.0",435.8,"2,639.6","2,208.3","19,795.5","35,053.6","3,915.1","3,201.8","10,260.4","13,155.3",131.7,245.8,245.4,"93,152.4"
2003–2004 ,"1,902.7",432.5,"2,817.6","2,310.0","20,314.6","37,957.3","4,170.9","3,282.9","10,653.3","13,361.1",132.7,250.7,296.4,"97,882.7"
2004–2005,"1,893.9",419.4,"2,857.3","2,457.9","21,263.7","39,743.7","4,337.2","3,467.6","11,498.5","13,435.9",140.2,264.8,284.8,"102,064.8"
2005–2006 ,"1,912.8",435.6,"3,034.0","2,577.3","21,623.0","40,847.3","4,442.3","3,667.1","12,352.2","14,086.1",146.3,257.2,270.7,"105,652.0"
2006–2007 ,"1,980.3",443.8,"3,270.7","2,718.5","22,831.1","42,513.3","4,532.9","3,786.8","13,111.4","13,952.6",160.8,262.7,294.8,"109,859.8"
2007–2008,"2,071.8",459.2,"3,379.3","2,732.5","23,409.9","43,884.0","4,591.5","3,867.2","14,013.7","14,624.5",158.9,280.6,288.6,"113,761.7"
2008–2009 ,"2,196.7",484.4,"3,418.6","2,759.5","24,424.9","45,454.3","4,778.0","4,029.7","14,783.0","15,348.7",169.6,287.0,288.4,"118,422.9"
2009–2010,"2,308.8",534.8,"3,475.8","2,839.5","25,911.7","46,573.4","4,975.0","4,135.4","14,996.1","15,415.6",197.9,299.5,311.7,"121,975.3"
2010–2011 ,"2,503.5",572.2,"3,849.5","2,957.8","26,499.3","48,025.6","5,079.4","4,351.1","16,907.9","16,128.1",200.6,327.4,318.1,"127,720.6"
2011–2012,"2,520.6",613.8,"3,913.1","2,986.2","26,601.1","47,637.5","5,159.2","4,339.1","16,411.6","16,405.1",208.4,346.4,333.1,"127,475.3"
2012–2013 ,"2,721.3",592.4,"3,929.9","2,928.6","26,569.5","49,424.3","5,410.7","4,473.3","16,995.3","17,412.8",211.4,345.1,338.9,"131,353.5"
2013–2014 ,"2,634.8",573.2,"3,805.3","2,828.0","26,699.7","48,891.5","5,382.3","4,612.8","17,239.9","17,003.5",215.0,389.7,343.7,"130,619.6"
2014–2015,"2,596.3",565.2,"3,835.4","2,775.9","26,537.2","49,781.3","5,226.7","4,578.9","17,338.5","17,258.9",215.9,401.4,359.0,"131,470.4"
2015–2016,"2,655.7",572.5,"3,873.0","2,845.5","29,104.2","50,672.4","5,471.9","4,623.0","17,635.6","17,751.8",231.7,413.0,376.9,"136,227.2"
